"Name";"ontologyTermName";"ontologyTermIRI";"score";"validated";"review"
"spinal anesthesia";"Trigeminal anesthesia";"http://purl.obolibrary.org/obo/HP_0031912";"63.16";"false";"false"
"vitamin e deficiency";"Low levels of vitamin E";"http://purl.obolibrary.org/obo/HP_0100513";"100";"false";"false"
"oral cavity squamous cell carcinoma";"Squamous cell carcinoma";"http://purl.obolibrary.org/obo/HP_0002860";"79.31";"false";"false"
"postpartum haemorrhage";"Post-partum hemorrhage";"http://purl.obolibrary.org/obo/HP_0011891";"93.33";"false";"false"
"phlebothrombosis";"Thrombophlebitis";"http://purl.obolibrary.org/obo/HP_0004418";"68.97";"false";"false"
"sebaceous gland disease";"Abnormality of the basal ganglia";"http://purl.obolibrary.org/obo/HP_0002134";"55";"false";"false"
"ephelides";"Freckled genitalia";"http://purl.obolibrary.org/obo/HP_0030257";"61.54";"false";"false"
"cerebral amyloid angiopathy";"Cerebral amyloid angiopathy";"http://purl.obolibrary.org/obo/HP_0011970";"100";"false";"false"
"platelet aggregation disorder";"Impaired platelet aggregation";"http://purl.obolibrary.org/obo/HP_0003540";"73.91";"false";"false"
"menkes disease";"Morbus Kienboeck";"http://purl.obolibrary.org/obo/HP_0010889";"64.29";"false";"false"
"joint pain";"Arthralgia";"http://purl.obolibrary.org/obo/HP_0002829";"100";"false";"false"
"cerebral ischemia";"Cerebral ischemia";"http://purl.obolibrary.org/obo/HP_0002637";"100";"false";"false"
"urea cycle disorder";"Sleep-wake cycle disturbance";"http://purl.obolibrary.org/obo/HP_0006979";"43.9";"false";"false"
"gastrointestinal infection";"Gastrointestinal infarctions";"http://purl.obolibrary.org/obo/HP_0005244";"88.89";"false";"false"
"trichuris trichiura infection";"Recurrent urinary tract infections";"http://purl.obolibrary.org/obo/HP_0000010";"59.57";"false";"false"
"adenovirus infection";"Severe adenovirus infection";"http://purl.obolibrary.org/obo/HP_0031694";"85";"false";"false"
"chronic liver disease";"Cystic liver disease";"http://purl.obolibrary.org/obo/HP_0006706";"78.05";"false";"false"
"thrombotic thrombocytopenic purpura";"Thrombocytopenia";"http://purl.obolibrary.org/obo/HP_0001873";"61.22";"false";"false"
"nematode infection";"Recurrent bacterial skin infections";"http://purl.obolibrary.org/obo/HP_0005406";"50";"false";"false"
"pulmonary tuberculosis";"Pulmonary tuberculosis";"http://purl.obolibrary.org/obo/HP_0032262";"100";"false";"false"
"skeletal muscle relaxant";"Fatty replacement of skeletal muscle";"http://purl.obolibrary.org/obo/HP_0012548";"71.11";"false";"false"
"lung squamous cell carcinoma";"Squamous cell lung carcinoma";"http://purl.obolibrary.org/obo/HP_0030359";"100";"false";"false"
"squamous cell anal carcinoma";"Anal canal squamous carcinoma";"http://purl.obolibrary.org/obo/HP_0006763";"87.72";"false";"false"
"malignant neoplasm";"Malignant neoplasm of the central nervous system";"http://purl.obolibrary.org/obo/HP_0100836";"91.43";"false";"false"
"t cell acute lymphoblastic leukaemia";"T-cell acute lymphoblastic leukemias";"http://purl.obolibrary.org/obo/HP_0006727";"95.52";"false";"false"
"arginase 1 deficiency";"Decreased small intestinal mucosa lactase level";"http://purl.obolibrary.org/obo/HP_0025130";"58.06";"false";"false"
"keloid";"Keloids";"http://purl.obolibrary.org/obo/HP_0010562";"100";"false";"false"
"senile lentigines";"Multiple lentigines";"http://purl.obolibrary.org/obo/HP_0001003";"62.5";"false";"false"
"haemophilia a";"Hemobilia";"http://purl.obolibrary.org/obo/HP_0100762";"78.26";"false";"false"
"vitamin b12 deficiency";"Vitamin B12 deficiency";"http://purl.obolibrary.org/obo/HP_0100502";"100";"false";"false"
"acute or chronic pain";"Chronic pain";"http://purl.obolibrary.org/obo/HP_0012532";"83.87";"false";"false"
"pigmented villonodular synovitis";"Abnormality of macular pigmentation";"http://purl.obolibrary.org/obo/HP_0008002";"52";"false";"false"
"sarcopenia";"Renal sarcoma";"http://purl.obolibrary.org/obo/HP_0008663";"56";"false";"false"
"thrombocythemia";"Thrombocytopenia";"http://purl.obolibrary.org/obo/HP_0001873";"72.73";"false";"false"
"gastric ulcer";"Gastric ulcer";"http://purl.obolibrary.org/obo/HP_0002592";"100";"false";"false"
"infantile spasm";"Infantile spasms";"http://purl.obolibrary.org/obo/HP_0012469";"100";"false";"false"
"ornithine transcarbamylase deficiency";"Decreased methylcobalamin";"http://purl.obolibrary.org/obo/HP_0003223";"50.91";"false";"false"
"pyoderma gangrenosum";"Pyoderma gangrenosum";"http://purl.obolibrary.org/obo/HP_0025452";"100";"false";"false"
"hypopharyngeal squamous cell carcinoma";"Oropharyngeal squamous cell carcinoma";"http://purl.obolibrary.org/obo/HP_0012182";"89.86";"false";"false"
"acute gouty arthritis";"Gout";"http://purl.obolibrary.org/obo/HP_0001997";"85.71";"false";"false"
"melasma";"Melasma";"http://purl.obolibrary.org/obo/HP_0025272";"100";"false";"false"
"osteosarcoma";"Osteosarcoma";"http://purl.obolibrary.org/obo/HP_0002669";"100";"false";"false"
"progressive familial intrahepatic cholestasis";"Intrahepatic cholestasis";"http://purl.obolibrary.org/obo/HP_0001406";"73.33";"false";"false"
"influenza";"Recurrent Haemophilus influenzae infections";"http://purl.obolibrary.org/obo/HP_0005376";"55.56";"false";"false"
"dystonia";"Dystonia";"http://purl.obolibrary.org/obo/HP_0001332";"100";"false";"false"
"pemphigoid";"Lymphoid leukemia";"http://purl.obolibrary.org/obo/HP_0005526";"41.38";"false";"false"
"insulinoma";"Insulinoma";"http://purl.obolibrary.org/obo/HP_0012197";"100";"false";"false"
"menorrhagia";"Menorrhagia";"http://purl.obolibrary.org/obo/HP_0000132";"100";"false";"false"
"aniridia";"Aniridia";"http://purl.obolibrary.org/obo/HP_0000526";"100";"false";"false"
"botulism";"Bilateral ductus arteriosus";"http://purl.obolibrary.org/obo/HP_0011650";"38.46";"false";"false"
"fetal trimethadione syndrome";"Rounded atelectasis";"http://purl.obolibrary.org/obo/HP_0033658";"49.18";"false";"false"
"fecal incontinence";"Bowel incontinence";"http://purl.obolibrary.org/obo/HP_0002607";"100";"false";"false"
"xerostomia";"Xerostomia";"http://purl.obolibrary.org/obo/HP_0000217";"100";"false";"false"
"primary sclerosing cholangitis";"Sclerosing cholangitis";"http://purl.obolibrary.org/obo/HP_0030991";"80";"false";"false"
"polycystic kidney disease";"Polycystic liver disease";"http://purl.obolibrary.org/obo/HP_0006557";"71.11";"false";"false"
"alpha 1 antitrypsin deficiency";"Reduced serum alpha-1-antitrypsin";"http://purl.obolibrary.org/obo/HP_0032025";"67.8";"false";"false"
"meningioma metastases";"Meningioma";"http://purl.obolibrary.org/obo/HP_0002858";"70.97";"false";"false"
"marburg virus infection";"Recurrent viral infections";"http://purl.obolibrary.org/obo/HP_0004429";"55";"false";"false"
"male hormonal deficiency";"Decreased response to growth hormone stimuation test";"http://purl.obolibrary.org/obo/HP_0000824";"70";"false";"false"
"hair loss";"Alopecia";"http://purl.obolibrary.org/obo/HP_0001596";"100";"false";"false"
"artery stenosis";"Arterial stenosis";"http://purl.obolibrary.org/obo/HP_0100545";"100";"false";"false"
"skin inflammation";"Inflammatory abnormality of the skin";"http://purl.obolibrary.org/obo/HP_0011123";"100";"false";"false"
"non erosive gastro esophageal reflux disease";"Gastroesophageal reflux";"http://purl.obolibrary.org/obo/HP_0002020";"81.82";"false";"false"
"microorganisms infection";"Recurrent skin infections";"http://purl.obolibrary.org/obo/HP_0001581";"58.06";"false";"false"
"suicidal ideation";"Suicidal ideation";"http://purl.obolibrary.org/obo/HP_0031589";"100";"false";"false"
"non arteritic anterior ischemic optic neuropathy";"Nonarteritic anterior ischemic optic neuropathy";"http://purl.obolibrary.org/obo/HP_0007634";"96.63";"false";"false"
"erosive esophagitis";"Esophagitis";"http://purl.obolibrary.org/obo/HP_0100633";"76.19";"false";"false"
"nsaid associated gastric ulcer";"Gastric ulcer";"http://purl.obolibrary.org/obo/HP_0002592";"68.29";"false";"false"
"ischemic optic neuropathy";"Optic neuropathy";"http://purl.obolibrary.org/obo/HP_0001138";"82.93";"false";"false"
"oral mucositis";"Oral ulcer";"http://purl.obolibrary.org/obo/HP_0000155";"78.57";"false";"false"
"acne vulgaris";"Acne";"http://purl.obolibrary.org/obo/HP_0001061";"50";"false";"false"
"herpes simplex labialis";"Recurrent oral herpes";"http://purl.obolibrary.org/obo/HP_0410028";"63.41";"false";"false"
"chikungunya virus infection";"Unusual fungal infection";"http://purl.obolibrary.org/obo/HP_0020100";"50";"false";"false"
"vitamin c deficiency";"Low levels of vitamin C";"http://purl.obolibrary.org/obo/HP_0100510";"100";"false";"false"
"grade iv malignant glioma";"Malignant mesothelioma";"http://purl.obolibrary.org/obo/HP_0100001";"55.81";"false";"false"
"hypotension";"Hypotension";"http://purl.obolibrary.org/obo/HP_0002615";"100";"false";"false"
"cas mediated disorder";"Abnormality of movement";"http://purl.obolibrary.org/obo/HP_0100022";"60.61";"false";"false"
"hemorrhoids";"Hemorrhoids";"http://purl.obolibrary.org/obo/HP_0032551";"100";"false";"false"
"miosis";"Miosis";"http://purl.obolibrary.org/obo/HP_0000616";"100";"false";"false"
"joint lubricant";"Joint subluxation";"http://purl.obolibrary.org/obo/HP_0032153";"61.54";"false";"false"
"enthesopathy";"Abnormal intestine morphology";"http://purl.obolibrary.org/obo/HP_0002242";"72";"false";"false"
"pancytopenia";"Pancytopenia";"http://purl.obolibrary.org/obo/HP_0001876";"100";"false";"false"
"zinc deficiency";"Decreased serum zinc";"http://purl.obolibrary.org/obo/HP_0031831";"45.16";"false";"false"
"proteus syndrome";"Nephrotic syndrome";"http://purl.obolibrary.org/obo/HP_0000100";"64.52";"false";"false"
"movement disorder";"Abnormality of movement";"http://purl.obolibrary.org/obo/HP_0100022";"100";"false";"false"
"chronic alcoholism";"Alcoholism";"http://purl.obolibrary.org/obo/HP_0030955";"66.67";"false";"false"
"sinusitis";"Sinusitis";"http://purl.obolibrary.org/obo/HP_0000246";"100";"false";"false"
"diagnostic fluorescein angiography or angioscopy of vasculature";"Abnormal fundus fluorescein angiography";"http://purl.obolibrary.org/obo/HP_0030604";"56.52";"false";"false"
"x rays imaging";"Brain imaging abnormality";"http://purl.obolibrary.org/obo/HP_0410263";"48.28";"false";"false"
"encephalopathy";"Encephalopathy";"http://purl.obolibrary.org/obo/HP_0001298";"100";"false";"false"
"seborrhoeic dermatitis";"Seborrheic dermatitis";"http://purl.obolibrary.org/obo/HP_0001051";"90.32";"false";"false"
"invasive candidiasis";"Candida esophagitis";"http://purl.obolibrary.org/obo/HP_0033351";"61.11";"false";"false"
"carcinoma";"Carcinoma";"http://purl.obolibrary.org/obo/HP_0030731";"100";"false";"false"
"gastrointestinal cancer";"Gastrointestinal carcinoma";"http://purl.obolibrary.org/obo/HP_0002672";"72.34";"false";"false"
"phospholipid syndrome";"Abnormal circulating phospholipid concentration";"http://purl.obolibrary.org/obo/HP_0040176";"59.57";"false";"false"
"epithelial ovarian cancer";"Ovarian carcinoma";"http://purl.obolibrary.org/obo/HP_0025318";"100";"false";"false"
"choroidal neovascularization";"Choroidal neovascularization";"http://purl.obolibrary.org/obo/HP_0011506";"100";"false";"false"
"iron overload disease";"Crohn's disease";"http://purl.obolibrary.org/obo/HP_0100280";"52.94";"false";"false"
"familial chylomicronemia syndrome";"Decreased circulating chylomicron concentration";"http://purl.obolibrary.org/obo/HP_0031242";"58.82";"false";"false"
"corneal abrasion";"Abnormal cornea morphology";"http://purl.obolibrary.org/obo/HP_0000481";"68.97";"false";"false"
"plasmodium falciparum malaria";"Microcephaly";"http://purl.obolibrary.org/obo/HP_0000252";"39.13";"false";"false"
"metabolic syndrome x";"Angiokeratoma corporis diffusum";"http://purl.obolibrary.org/obo/HP_0001071";"56.25";"false";"false"
"chronic myelomonocytic leukaemia";"Chronic myelomonocytic leukemia";"http://purl.obolibrary.org/obo/HP_0012325";"100";"false";"false"
"vitamin b6 deficiency";"Reduced circulating vitamin B6 level";"http://purl.obolibrary.org/obo/HP_0008326";"100";"false";"false"
"cerebrovascular ischaemia";"Cerebral ischemia";"http://purl.obolibrary.org/obo/HP_0002637";"94.12";"false";"false"
"euthyroid goiter";"Euthyroid goiter";"http://purl.obolibrary.org/obo/HP_0009798";"100";"false";"false"
"recurrent adult burkitt lymphoma";"Burkitt lymphoma";"http://purl.obolibrary.org/obo/HP_0030080";"72.34";"false";"false"
"contact dermatitis";"Contact dermatitis";"http://purl.obolibrary.org/obo/HP_0032282";"100";"false";"false"
"amenorrhea";"Amenorrhea";"http://purl.obolibrary.org/obo/HP_0000141";"100";"false";"false"
"azoospermia";"Azoospermia";"http://purl.obolibrary.org/obo/HP_0000027";"100";"false";"false"
"kidney stone";"Nephrolithiasis";"http://purl.obolibrary.org/obo/HP_0000787";"100";"false";"false"
"deafness";"Hearing impairment";"http://purl.obolibrary.org/obo/HP_0000365";"100";"false";"false"
"maroteaux lamy syndrome";"Nephrotic syndrome";"http://purl.obolibrary.org/obo/HP_0000100";"51.28";"false";"false"
"marginal zone lymphoma";"Lymphoma";"http://purl.obolibrary.org/obo/HP_0002665";"60";"false";"false"
"chronic hbv infection";"Chronic infection";"http://purl.obolibrary.org/obo/HP_0031035";"88.24";"false";"false"
"plasmodium vivax malaria";"Hypoplasia of the maxilla";"http://purl.obolibrary.org/obo/HP_0000327";"47.83";"false";"false"
"sepsis";"Sepsis";"http://purl.obolibrary.org/obo/HP_0100806";"100";"false";"false"
"secondary hyperparathyroidism";"Secondary hyperparathyroidism";"http://purl.obolibrary.org/obo/HP_0000867";"100";"false";"false"
"aneurysmal subarachnoid hemorrhage";"Subarachnoid hemorrhage";"http://purl.obolibrary.org/obo/HP_0002138";"83.64";"false";"false"
"mitochondrial myopathy";"Mitochondrial myopathy";"http://purl.obolibrary.org/obo/HP_0003737";"100";"false";"false"
"diarrhea predominant irritable bowel syndrome";"Bowel irritability";"http://purl.obolibrary.org/obo/HP_0033628";"48";"false";"false"
"acute gout flare";"Gout";"http://purl.obolibrary.org/obo/HP_0001997";"47.62";"false";"false"
"primary progressive multiple sclerosis";"Progressive sclerosis of skull base";"http://purl.obolibrary.org/obo/HP_0005477";"63.49";"false";"false"
"proctitis";"Projectile vomiting";"http://purl.obolibrary.org/obo/HP_0002587";"48";"false";"false"
"mental disease";"Morbus Scheuermann";"http://purl.obolibrary.org/obo/HP_0010891";"61.54";"false";"false"
"invasive aspergillosis";"Invasive pulmonary aspergillosis";"http://purl.obolibrary.org/obo/HP_0020103";"79.17";"false";"false"
"pharyngitis";"Pharyngitis";"http://purl.obolibrary.org/obo/HP_0025439";"100";"false";"false"
"candidemia";"Acidemia";"http://purl.obolibrary.org/obo/HP_0032368";"60";"false";"false"
"chronic blistering skin disorder";"Abnormal blistering of the skin";"http://purl.obolibrary.org/obo/HP_0008066";"58.33";"false";"false"
"non small cell lung cancer";"Non-small cell lung carcinoma";"http://purl.obolibrary.org/obo/HP_0030358";"100";"false";"false"
"gaucher disease";"Morbus Scheuermann";"http://purl.obolibrary.org/obo/HP_0010891";"60";"false";"false"
"paronychia";"Paronychia";"http://purl.obolibrary.org/obo/HP_0001818";"100";"false";"false"
"appendicitis";"Caudal appendage";"http://purl.obolibrary.org/obo/HP_0002825";"52.17";"false";"false"
"high cholesterol level";"Decreased HDL cholesterol concentration";"http://purl.obolibrary.org/obo/HP_0003233";"69.77";"false";"false"
"functional bowel syndrome";"Brown anomaly";"http://purl.obolibrary.org/obo/HP_0031622";"59.46";"false";"false"
"chemoprotection";"Chemodectoma";"http://purl.obolibrary.org/obo/HP_0030074";"53.85";"false";"false"
"respiratory tract disease";"Restrictive ventilatory defect";"http://purl.obolibrary.org/obo/HP_0002091";"83.02";"false";"false"
"hepatitis b";"Hepatitis";"http://purl.obolibrary.org/obo/HP_0012115";"85.71";"false";"false"
"kidney failure";"Acute kidney injury";"http://purl.obolibrary.org/obo/HP_0001919";"84.85";"false";"false"
"cell proliferative disorder";"Myeloproliferative disorder";"http://purl.obolibrary.org/obo/HP_0005547";"73.68";"false";"false"
"intestine cancer";"Intestinal perforation";"http://purl.obolibrary.org/obo/HP_0031368";"68.75";"false";"false"
"peritoneal mesothelioma";"Peritoneal mesothelioma";"http://purl.obolibrary.org/obo/HP_0100003";"100";"false";"false"
"pleural mesothelioma";"Pleural mesothelioma";"http://purl.obolibrary.org/obo/HP_0100002";"100";"false";"false"
"head injury";"Self-injurious behavior";"http://purl.obolibrary.org/obo/HP_0100716";"58.33";"false";"false"
"haemolytic uraemic syndrome";"Hemolytic-uremic syndrome";"http://purl.obolibrary.org/obo/HP_0005575";"86.36";"false";"false"
"urinary retention";"Urinary retention";"http://purl.obolibrary.org/obo/HP_0000016";"100";"false";"false"
"primary mediastinal b cell lymphoma";"Primary central nervous system lymphoma";"http://purl.obolibrary.org/obo/HP_0030069";"70.37";"false";"false"
"implantation failure";"Repeated implantation failure";"http://purl.obolibrary.org/obo/HP_0033712";"81.08";"false";"false"
"albinism";"Albinism";"http://purl.obolibrary.org/obo/HP_0001022";"100";"false";"false"
"postoperative ileus";"Stooped posture";"http://purl.obolibrary.org/obo/HP_0025403";"56";"false";"false"
"pertussis";"Patent ductus arteriosus";"http://purl.obolibrary.org/obo/HP_0001643";"41.38";"false";"false"
"tetanus";"Tetany";"http://purl.obolibrary.org/obo/HP_0001281";"71.43";"false";"false"
"diphtheria";"Peripheral";"http://purl.obolibrary.org/obo/HP_0030646";"50";"false";"false"
"small round cell desmoplastic tumour";"Desmoid tumors";"http://purl.obolibrary.org/obo/HP_0100245";"52";"false";"false"
"lewy body dementia";"Lewy bodies";"http://purl.obolibrary.org/obo/HP_0100315";"68.97";"false";"false"
"primary hypercholesterolemia";"Hypercholesterolemia";"http://purl.obolibrary.org/obo/HP_0003124";"84";"false";"false"
"hemorrhagic shock";"Shock";"http://purl.obolibrary.org/obo/HP_0031273";"54.55";"false";"false"
"hypocalcemia";"Hypocalcemia";"http://purl.obolibrary.org/obo/HP_0002901";"100";"false";"false"
"hepatitis c";"Hepatitis";"http://purl.obolibrary.org/obo/HP_0012115";"85.71";"false";"false"
"perennial allergic rhinitis";"Allergic rhinitis";"http://purl.obolibrary.org/obo/HP_0003193";"78.95";"false";"false"
"basal cell nevus syndrome";"Basal cell carcinoma";"http://purl.obolibrary.org/obo/HP_0002671";"80";"false";"false"
"chondrosarcoma";"Chondrosarcoma";"http://purl.obolibrary.org/obo/HP_0006765";"100";"false";"false"
"pleomorphic sarcoma";"Pleomorphic xanthoastrocytoma";"http://purl.obolibrary.org/obo/HP_0033682";"56.52";"false";"false"
"metastatic breast cancer";"Breast carcinoma";"http://purl.obolibrary.org/obo/HP_0003002";"75.68";"false";"false"
"diabetic complication";"Abnormal delivery";"http://purl.obolibrary.org/obo/HP_0001787";"56.25";"false";"false"
"localisation";"Localized";"http://purl.obolibrary.org/obo/HP_0012838";"100";"false";"false"
"vascular restinosis";"Abnormal retinal vascular morphology";"http://purl.obolibrary.org/obo/HP_0008046";"60.47";"false";"false"
"nervous system cancer";"Neoplasm of the nervous system";"http://purl.obolibrary.org/obo/HP_0004375";"73.17";"false";"false"
"staining";"Asthenopia";"http://purl.obolibrary.org/obo/HP_0031590";"62.5";"false";"false"
"vasospasm";"Vasospasm";"http://purl.obolibrary.org/obo/HP_0025637";"100";"false";"false"
"african trypanosomiasis";"Anomia";"http://purl.obolibrary.org/obo/HP_0030784";"43.24";"false";"false"
"multidrug resistant infection";"Multidrug-resistant nephrotic syndrome";"http://purl.obolibrary.org/obo/HP_0012589";"63.16";"false";"false"
"lamberteaton myasthenic syndrome";"Fatigable weakness";"http://purl.obolibrary.org/obo/HP_0003473";"45.45";"false";"false"
"locally advanced rectal cancer";"Advanced eruption of teeth";"http://purl.obolibrary.org/obo/HP_0006288";"46.81";"false";"false"
"hemophilia";"Hemobilia";"http://purl.obolibrary.org/obo/HP_0100762";"76.19";"false";"false"
"motion sickness";"Limitation of neck motion";"http://purl.obolibrary.org/obo/HP_0005986";"60";"false";"false"
"metastatic lung cancer";"Small cell lung carcinoma";"http://purl.obolibrary.org/obo/HP_0030357";"66.67";"false";"false"
"leukopenia";"Leukopenia";"http://purl.obolibrary.org/obo/HP_0001882";"100";"false";"false"
"idiopathic parkinson disease";"Arthropathy";"http://purl.obolibrary.org/obo/HP_0003040";"50.98";"false";"false"
"fibrodysplasia ossificans progressiva";"Progressive massive fibrosis";"http://purl.obolibrary.org/obo/HP_0033706";"62.3";"false";"false"
"small lymphocytic lymphoma";"T cell chronic lymphocytic lymphoma/leukemia";"http://purl.obolibrary.org/obo/HP_0005539";"61.76";"false";"false"
"hcv 1 and hcv 4 infection";"Osteomyelitis";"http://purl.obolibrary.org/obo/HP_0002754";"45.16";"false";"false"
"allodynia";"Allodynia";"http://purl.obolibrary.org/obo/HP_0012533";"100";"false";"false"
"hyperaldosteronism";"Hyperaldosteronism";"http://purl.obolibrary.org/obo/HP_0000859";"100";"false";"false"
"myocardial fibrosis";"Myocardial fibrosis";"http://purl.obolibrary.org/obo/HP_0001685";"100";"false";"false"
"complex regional pain syndrome";"Pain in head and neck region";"http://purl.obolibrary.org/obo/HP_0046506";"48";"false";"false"
"syndromic genetic deafness";"Contiguous gene syndrome";"http://purl.obolibrary.org/obo/HP_0001466";"60";"false";"false"
"keratoconus";"Keratoconus";"http://purl.obolibrary.org/obo/HP_0000563";"100";"false";"false"
"mood disorder";"Abnormality of movement";"http://purl.obolibrary.org/obo/HP_0100022";"64.29";"false";"false"
"corneal deformity";"Abnormal cornea morphology";"http://purl.obolibrary.org/obo/HP_0000481";"73.33";"false";"false"
"type 1 gaucher disease";"Graves disease";"http://purl.obolibrary.org/obo/HP_0100647";"51.43";"false";"false"
"factor vii deficiency";"Reduced factor XII activity";"http://purl.obolibrary.org/obo/HP_0004841";"88.89";"false";"false"
"ophthalmic infection";"Abnormality of ophthalmic artery";"http://purl.obolibrary.org/obo/HP_0410006";"46.15";"false";"false"
"bone induction";"Osteomyelitis";"http://purl.obolibrary.org/obo/HP_0002754";"75";"false";"false"
"hypoalbuminemia";"Hypoalbuminemia";"http://purl.obolibrary.org/obo/HP_0003073";"100";"false";"false"
"waldenstrom macroglobulinemia";"Cryoglobulinemia";"http://purl.obolibrary.org/obo/HP_0100778";"59.57";"false";"false"
"sexually transmitted infection";"Iris transillumination defect";"http://purl.obolibrary.org/obo/HP_0012805";"51.06";"false";"false"
"central nervous system disease";"Central nervous system cyst";"http://purl.obolibrary.org/obo/HP_0030724";"78.57";"false";"false"
"vomiting";"Vomiting";"http://purl.obolibrary.org/obo/HP_0002013";"100";"false";"false"
"anal fissure";"Anal fissure";"http://purl.obolibrary.org/obo/HP_0012390";"100";"false";"false"
"myelopathy";"Myelopathy";"http://purl.obolibrary.org/obo/HP_0002196";"100";"false";"false"
"neurogenic orthostatic hypotension";"Orthostatic hypotension";"http://purl.obolibrary.org/obo/HP_0001278";"80.85";"false";"false"
"germ cell tumour";"Neoplasm";"http://purl.obolibrary.org/obo/HP_0002664";"58.33";"false";"false"
"refractory sickle cell ulcers";"Refractory";"http://purl.obolibrary.org/obo/HP_0031375";"56.41";"false";"false"
"metastatic renal cancer";"Breast carcinoma";"http://purl.obolibrary.org/obo/HP_0003002";"61.11";"false";"false"
"atypical teratoid rhabdoid tumour";"Desmoid tumors";"http://purl.obolibrary.org/obo/HP_0100245";"47.46";"false";"false"
"choroid plexus carcinoma";"Choroid plexus carcinoma";"http://purl.obolibrary.org/obo/HP_0030392";"100";"false";"false"
"ependymoma";"Ependymoma";"http://purl.obolibrary.org/obo/HP_0002888";"100";"false";"false"
"human immunodeficiency virus 1 infection";"Humoral immunodeficiency";"http://purl.obolibrary.org/obo/HP_0005363";"61.54";"false";"false"
"anxiety disorder";"Anxiety";"http://purl.obolibrary.org/obo/HP_0000739";"69.57";"false";"false"
"maple syrup urine disease";"Increased level of myristic acid in serum";"http://purl.obolibrary.org/obo/HP_0410154";"43.64";"false";"false"
"structural developmental anomalies of liver";"Cerebral venous angioma";"http://purl.obolibrary.org/obo/HP_0012481";"68.85";"false";"false"
"sunburn";"Gastroesophageal reflux";"http://purl.obolibrary.org/obo/HP_0002020";"44.44";"false";"false"
