,DRUG_NAME,STRUCT_ID,TARGET_NAME,TARGET_CLASS,ACCESSION,GENE,SWISSPROT,ACT_VALUE,ACT_UNIT,ACT_TYPE,ACT_COMMENT,ACT_SOURCE,RELATION,MOA,MOA_SOURCE,ACT_SOURCE_URL,MOA_SOURCE_URL,ACTION_TYPE,TDL,ORGANISM,NEW_ID
1002,azelastine,271,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.2,,IC50,Displacement of [3H]AF-DX 384 from recombinant human M1 receptor expressed in CHO cells,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
1006,azelnidipine,272,Voltage-gated L-type calcium channel,Ion channel,Q01668|Q13936,CACNA1D|CACNA1C,CAC1D_HUMAN|CAC1C_HUMAN,,,,Mechanism of Action,DRUG LABEL,,1.0,KEGG DRUG,,http://www.kegg.jp/entry/D01145,BLOCKER,Tclin|Tclin|Tclin|Tclin,Homo sapiens,HGNC:1391
1046,barnidipine,290,Voltage-gated L-type calcium channel,Ion channel,Q01668|Q13936,CACNA1D|CACNA1C,CAC1D_HUMAN|CAC1C_HUMAN,,,,Mechanism of Action,DRUG LABEL,,1.0,KEGG DRUG,,http://www.kegg.jp/entry/D07494,BLOCKER,Tclin|Tclin|Tclin|Tclin,Homo sapiens,HGNC:1391
1062,bendamustine,302,Histone deacetylase 2,Enzyme,Q92769,HDAC2,HDAC2_HUMAN,8.05,,IC50,,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:4853
1072,bendroflumethiazide,305,Calcium-activated potassium channel subunit alpha-1,Ion channel,Q12791,KCNMA1,KCMA1_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:6284
1085,diphenidol,313,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.108,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL936,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
1107,benzbromarone,318,Tyrosine-protein phosphatase non-receptor type 1,Enzyme,P18031,PTPN1,PTN1_HUMAN,4.27,,IC50,Inhibition of PTP1B (unknown origin) by p-nitrophenylphosphate assay,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:9642
1145,benzthiazide,332,Calcium-activated potassium channel subunit alpha-1,Ion channel,Q12791,KCNMA1,KCMA1_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:6284
1158,benzatropine,333,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,9.636000000000001,,Ki,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201203,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
1170,benzatropine,333,Muscarinic acetylcholine receptor M1,GPCR,P08482,Chrm1,ACM1_RAT,9.23,,Ki,Displacement of [3H]pirenzepine binding at Muscarinic acetylcholine receptor M1 in rat brain P2 membranes.,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
1187,bepridil,342,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,Mechanism of Action,SCIENTIFIC LITERATURE,,1.0,SCIENTIFIC LITERATURE,https://pubmed.ncbi.nlm.nih.gov/1281221,https://pubmed.ncbi.nlm.nih.gov/1281221,BLOCKER,Tclin,Homo sapiens,HGNC:1390
1188,bepridil,342,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,Q01668,CACNA1D,CAC1D_HUMAN,,,,Mechanism of Action,SCIENTIFIC LITERATURE,,1.0,SCIENTIFIC LITERATURE,https://pubmed.ncbi.nlm.nih.gov/1281221,https://pubmed.ncbi.nlm.nih.gov/1281221,BLOCKER,Tclin,Homo sapiens,HGNC:1391
1213,bethanechol,358,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,4.0,,Ki,,IUPHAR,=,,,,,AGONIST,Tclin,Homo sapiens,HGNC:1950
1262,biperiden,374,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,9.32,,Kd,,IUPHAR,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1101,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
1317,bortezomib,391,Proteasome subunit beta type-5,Enzyme,P28074,PSMB5,PSB5_HUMAN,9.26,,Ki,Inhibition of 20S proteasome beta5 subunit (unknown origin) assessed as formation of reversible adduct with N-terminal threonine,CHEMBL,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL325041,INHIBITOR,Tclin,Homo sapiens,HGNC:9542
1441,bromperidol,407,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.119,,Ki,,PDSP,=,,,,,,Tclin,Homo sapiens,HGNC:1950
1588,scopolamine butylbromide,458,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:1950
1609,cadralazine,461,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:1390
1686,caramiphen,486,Muscarinic acetylcholine receptor M1,GPCR,P08482,Chrm1,ACM1_RAT,8.92,,Ki,Displacement of [3H]pirenzepine from muscarinic acetylcholine receptor M1 in rat cortex homogenates,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
1694,carbachol,488,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,8.523,,EC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
1701,carbachol,488,Muscarinic acetylcholine receptor M1,GPCR,P08482,Chrm1,ACM1_RAT,7.51,,Ki,"Affinity versus [3H]oxotremorine M (agonist) binding to Muscarinic acetylcholine receptor M1 in Rat Cerebral Cortical Membranes, (Kd=0.75 nM)",CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
1704,carbachol,488,Muscarinic acetylcholine receptor M1,GPCR,P12657,Chrm1,ACM1_MOUSE,7.7,,Ki,Binding affinity (low) of [3H](R)-QNB binding to Muscarinic acetylcholine receptor M1 expressed in A9 L cell line in the absence of 300 uM GTP-gamma-S,CHEMBL,=,,,,,,,Mus musculus,MGI:88396
1715,carbachol,488,Muscarinic acetylcholine receptor,GPCR,P08482|P08483|P08485|P08911|P10980,Chrm1|Chrm3|Chrm4|Chrm5|Chrm2,ACM1_RAT|ACM3_RAT|ACM4_RAT|ACM5_RAT|ACM2_RAT,8.89,,Ki,In vitro binding affinity for muscarinic receptor by displacing [3H]oxotremorine-M binding on rat brain homogenate.,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
1725,carbenicillin,492,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.37,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
1733,pentoxyverine,494,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.12,,Ki,Binding affinity towards muscarinic m1 receptor,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
1810,carvedilol,522,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,4.52,,IC50,,CHEMBL,=,,,,,,,Homo sapiens,HGNC:620
2017,cevimeline,584,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.638,,EC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL168815,AGONIST,Tclin,Homo sapiens,HGNC:1950
2065,chloropyramine,606,Focal adhesion kinase 1,Kinase,Q05397,PTK2,FAK1_HUMAN,6.24,,Kd,Binding affinity to biotinylated human FAK FAT domain by biolayer interoferometry,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:9611
2070,chloroquine,607,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.04,,Ki,Activity of compound against Muscarinic acetylcholine receptor M1 (CHRM1) by displacement of 3H-QNB,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
2078,chloroquine,607,Major prion protein,Surface antigen,P04156,PRNP,PRIO_HUMAN,5.4,,EC50,Half maximal inhibition of Prion protein PrPsc formation was assayed in ScN2a cells,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:9449
2082,chloroquine,607,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,5.16,,IC50,Modulation of human wild-type APP695 expressed in SH-SY5Y cells assessed as inhibition of amyloid beta (1 to 40 residues) production measured after 24 hrs,CHEMBL,=,,,,,,,Homo sapiens,HGNC:620
2136,chlorpromazine,621,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.602,,Ki,,PDSP,=,,,,,,Tclin,Homo sapiens,HGNC:1950
2161,chlorpromazine,621,Major prion protein,Surface antigen,P04156,PRNP,PRIO_HUMAN,5.7,,EC50,Half maximal inhibition of Prion protein PrPsc formation was assayed in ScN2a cells,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:9449
2187,chlorpromazine,621,Muscarinic acetylcholine receptor,GPCR,P08482|P08483|P08485|P08911|P10980,Chrm1|Chrm3|Chrm4|Chrm5|Chrm2,ACM1_RAT|ACM3_RAT|ACM4_RAT|ACM5_RAT|ACM2_RAT,7.22,,Ki,In vitro binding affinity against Muscarinic acetylcholine receptors in rat brain.,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
2192,chlorpromazine,621,Adenylate cyclase,Enzyme,D4A3N4|P21932|P26769|P26770|P40146|Q03343|Q04400|Q8CFM9,Adcy1|Adcy3|Adcy2|Adcy4|Adcy8|Adcy6|Adcy5,D4A3N4_RAT|ADCY3_RAT|ADCY2_RAT|ADCY4_RAT|ADCY8_RAT|ADCY6_RAT|ADCY5_RAT|Q8CFM9_RAT,6.93,,Ki,Inhibitory activity against Dopamine sensitive adenylate cyclase in rats,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:1309318
2195,chlorpromazine,621,Major prion protein,Unclassified,P04925,Prnp,PRIO_MOUSE,5.7,,EC50,Activity at mouse prion protein expressed in Escherichia coli,CHEMBL,=,,,,,,,Mus musculus,MGI:97769
2206,chlorprothixene,623,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.959,,Ki,,PDSP,,,,,,,Tclin,Homo sapiens,HGNC:1950
2217,chlortetracycline,624,Major prion protein,Surface antigen,P04156,PRNP,PRIO_HUMAN,,,,,WOMBAT-PK,,,,,,,Tchem,Homo sapiens,HGNC:9449
2234,chlorzoxazone,626,"Nitric oxide synthase, brain",Enzyme,P29475,NOS1,NOS1_HUMAN,4.3,,IC50,Inhibitory activity against Neuronal nitric oxide synthase,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:7872
2236,chlorzoxazone,626,"Nitric oxide synthase, brain",Enzyme,P29476,Nos1,NOS1_RAT,5.553999999999999,,IC50,"DRUGMATRIX: Nitric Oxide Synthase, Neuronal (nNOS) radioligand binding (ligand: [3H]L-Arginine)",DRUG MATRIX,=,,,,,,,Rattus norvegicus,RGD:3184
2238,chlorzoxazone,626,Calcium-activated potassium channel subunit alpha-1,Ion channel,Q12791,KCNMA1,KCMA1_HUMAN,4.523,,EC50,Chlorzoxazone-stimulated activity of BK(Ca) channels in neuroblastoma IMR-32 cells,SCIENTIFIC LITERATURE,=,1.0,SCIENTIFIC LITERATURE,https://pubmed.ncbi.nlm.nih.gov/12480161,https://pubmed.ncbi.nlm.nih.gov/12480161,OPENER,Tclin,Homo sapiens,HGNC:6284
2261,cianidanol,629,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,4.48,,IC50,Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,CHEMBL,=,,,,,,,Homo sapiens,HGNC:620
2264,cianidanol,629,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,4.48,,IC50,Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:620
2291,cilnidipine,642,Voltage-gated L-type calcium channel,Ion channel,Q01668|Q13936,CACNA1D|CACNA1C,CAC1D_HUMAN|CAC1C_HUMAN,,,,Mechanism of Action,SCIENTIFIC LITERATURE,,1.0,SCIENTIFIC LITERATURE,https://pubmed.ncbi.nlm.nih.gov/9298526,https://pubmed.ncbi.nlm.nih.gov/9298526,BLOCKER,Tclin|Tclin|Tclin|Tclin,Homo sapiens,HGNC:1391
2320,cinnarizine,654,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.218,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
2379,cisatracurium,661,Acetylcholine receptor,Ion channel,P02708|P11230|Q07001,CHRNA1|CHRNB1|CHRND,ACHA_HUMAN|ACHB_HUMAN|ACHD_HUMAN,8.0,,IC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201248,ANTAGONIST,Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin,Homo sapiens,HGNC:1955
2388,citalopram,663,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.875,,Ki,,PDSP,=,,,,,,Tclin,Homo sapiens,HGNC:1950
2459,clemastine,671,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.796,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
2486,clevidipine,674,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1237132,BLOCKER,Tclin,Homo sapiens,HGNC:1390
2487,clevidipine,674,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,Q01668,CACNA1D,CAC1D_HUMAN,,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1237132,BLOCKER,Tclin,Homo sapiens,HGNC:1391
2488,clidinium,676,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,Mechanism of Action; CHEMBL216; SINGLE PROTEIN,CHEMBL,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL620,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
2494,clioquinol,681,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,4.0,,IC50,Inhibition of amyloid beta (1 to 42) aggregation (unknown origin) at 4:1 compound to protein concentration after 48 hrs by thioflavin T fluorescence assay,CHEMBL,=,,,,,,,Homo sapiens,HGNC:620
2499,clodronic acid,690,Tyrosine-protein phosphatase non-receptor type 1,Enzyme,P18031,PTPN1,PTN1_HUMAN,,,,,WOMBAT-PK,,,,,,,Tchem,Homo sapiens,HGNC:9642
2531,clomifene,700,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.407,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
2565,clomipramine,701,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.657999999999999,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
2635,clotiapine,717,Muscarinic acetylcholine receptor,GPCR,P08482|P08483|P08485|P08911|P10980,Chrm1|Chrm3|Chrm4|Chrm5|Chrm2,ACM1_RAT|ACM3_RAT|ACM4_RAT|ACM5_RAT|ACM2_RAT,6.87,,Ki,In vitro binding affinity against Muscarinic acetylcholine receptors in rat brain.,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
2659,clotrimazole,719,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.7810000000000015,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
2745,clozapine,722,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,8.181000000000001,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
2768,clozapine,722,Muscarinic acetylcholine receptor M1,GPCR,P08482,Chrm1,ACM1_RAT,8.68,,Ki,Compound was tested for the binding affinity against rat cortical Muscarinic acetylcholine receptor M1 by radioligand [3H]pirenzepine binding assay.,CHEMBL,=,,,,,,,Rattus norvegicus,RGD:2342
